Target,treatment,Clone,zeitgeber,Ttest_ind,p-value
LHY,D-Italy,I1,48,6.8536,0.0206
LHY,D-Italy,N2,48,4.49,0.0109
LHY,D-Norway,N2,36,-12.8514,0.001
LHY,D-Norway,N2,40,-5.0725,0.0148
LHY,D-Norway,N2,48,4.535,0.0105
RVE8,D-Norway,N2,32,-2.7786,0.0499
RVE8,D-Norway,N2,40,-6.3776,0.0078
PRR9,D-Italy,I1,36,8.6858,0.0032
PRR9,D-Italy,I1,32,4.7192,0.0092
PRR9,D-Italy,I1,48,-4.9319,0.0387
PRR9,D-Italy,N2,48,-3.342,0.0288
PRR9,D-Italy,N2,44,-4.9195,0.0079
PRR9,D-Italy,N2,36,6.324,0.0032
PRR9,D-Italy,N2,28,5.2141,0.0065
PRR9,D-Italy,N2,32,5.3077,0.0061
PRR9,D-Norway,I1,44,-4.3486,0.0122
PRR9,D-Norway,I1,36,4.7323,0.0091
PRR9,D-Norway,I1,32,10.8471,0.0004
PRR9,D-Norway,N2,28,4.7624,0.0089
PRR9,D-Norway,N2,32,2.8271,0.0475
PRR9,D-Norway,N2,48,-5.0853,0.0071
PRR9,D-Norway,N2,36,3.856,0.0308
PRR7,D-Italy,I1,48,-5.8716,0.0278
PRR7,D-Italy,N2,44,-5.4255,0.0056
PRR7,D-Italy,N2,28,3.713,0.0206
PRR7,D-Norway,I1,48,-18.4676,0.0003
PRR7,D-Norway,N2,48,-3.2555,0.0312
PRR5,D-Italy,I1,48,-5.5906,0.0305
PRR5,D-Italy,I1,36,3.3612,0.0437
PRR5,D-Italy,N2,44,-5.4963,0.0053
PRR5,D-Norway,I1,48,-7.5601,0.0048
PRR5,D-Norway,N2,48,-3.8816,0.0178
LUX,D-Italy,I1,32,2.8892,0.0446
LUX,D-Italy,N2,44,-2.923,0.0431
LUX,D-Norway,I1,40,3.6383,0.022
LUX,D-Norway,N2,48,-3.8238,0.0187
PRDX,D-Italy,I1,32,2.9229,0.0431
PRDX,D-Italy,I1,40,3.4094,0.0422
PRDX,D-Italy,N2,48,10.5395,0.0005
PRDX,D-Italy,N2,40,9.7167,0.0006
PRDX,D-Norway,N2,48,4.9222,0.0079
PRDX,D-Norway,N2,44,3.9211,0.0172
